,job_title,job_location,advertiser,posted_date,salary,type_of_work,job_category,job_subcategory,job_description,job_searched,url,new_job_category,new_job_title,final_salary,experience_level
0,Data Analyst (Digital),All-Sydney-NSW,Seventh Street Ventures,23 Apr 2019,"$60,000 - $70,000 plus Super",Contract/Temp,Information & Communication Technology,Business/Systems Analysts,"About Us Seventh Street Ventures is an entrepreneurial company that uses its own capital to create opportunities across a diverse range of industries. We have a track record of delivering returns well above industry benchmarks with a portfolio of business interests ranging from property development to digital media and social enterprise. Seventh Street is on an exciting journey for the next stage of its evolution in growing and diversifying its investment portfolio. We look for opportunities to disrupt the status quo with any new venture we enter. We believe that our commitment to the community and passion for innovation can change the world. We always look to do good and make money.   About the role There is an exciting opportunity for a data analyst to join the team as the Company explores new ventures. The successful candidate will collate data and information on digital trends and sales data focusing initially on our digital business, The Brag Media. The role is full time for an initial fixed term, three-month period with the possibility to extend depending on volume of work. Duties and responsibilities  Collate data relevant to the current and existing projects Provide data analysis and extract insights Create reporting for recording data purposes in an easily translatable format Ad hoc reporting as directed by management Capabilities  Minimum 1-year experience in a similar role Sound knowledge of Microsoft Office with advanced skills in Excel Excellent communication skills and can easily translate data trends through Excel reporting Proficient in digital analytics, including web analytics with tools such as Adobe Analytics and Google Analytics (highly desirable) Tabeleau, IBM Tealeaf and/or Java Scripting (desirable) The perks  Enjoy complimentary lunches cooked daily A collaborative and fun team environment Our office is based in the heart of Chiswick with plenty of street parking available.   Please send your resume and cover letter relevant to the role to ally@seventhstreet.vc by 5.00 pm Friday 3 May. Successful candidates will be contacted by 10 May to discuss the role further. We are proud to be an Equal Employment Opportunity and Affirmative Action employer.",data-analyst,https://www.seek.com.au/job/38866940?type=promoted&searchrequesttoken=7b525d56-c57f-4e88-a1b0-29f6a23f91ed,Information Technology,data analyst,70000.0,Mid_level
3,Junior Data Analyst,All-Sydney-NSW,Enterprise IT Resources Pty Ltd,6 May 2019,$280 + Super,Contract/Temp,Information & Communication Technology,Business/Systems Analysts,"The Client Our client is a highly respected organisation based in Sydney with multiple projects running throughout IT and the business.The Role Work as a part of one of the most pivotal teams within the organisation. You will be working with the support of the business on key data analytics projects, retention systems and dashboard reporting.Mandatory Experience - Please only apply if you have the following:Advanced Excel knowledge and proficiencyData AnalyticsVery strong communication skillsFinancial, advertising or marketing experiencePresentation skillsTertiary qualifications in Business or MarketingThe BenefitsLearn from a strong performing teamStrong collaborative teamSt. Leonard's locationHow to applyPlease click on the APPLY button and we will happily review your application against our clients' requirements. Please note: we prefer MS Word formatted resumes please.Please only apply if you have valid Australian full working rights.",data-analyst,https://www.seek.com.au/job/38948629?type=standout&searchrequesttoken=7b525d56-c57f-4e88-a1b0-29f6a23f91ed,Information Technology,data analyst,72800.0,Junior_level
4,Data Quality Analyst - Oracle Enterprise Data Quality,All-Sydney-NSW,Capgemini,2 May 2019,na,Full Time,Information & Communication Technology,Engineering - Software,"About the Team
Our Insights and Data team helps our clients make better business decisions by transforming an ocean of data into streams of insight. Our clients are among Australia's top performing companies and they choose to partner with Capgemini for a very good reason - our exceptional people. Due to continued growth within Capgemini's Insights & Data practice we intend to recruit a OEDQ Data Quality Analyst  with relevant consulting and communication skills and with a proven track record of delivery within the Enterprise Information Management arena. If you are already working in a consultancy role, or have excellent client-facing skills gained within large organizations, we would like to discuss our consultant opportunities with you.
About the RoleTo be considered for this role, you must have:

Strong experience in OEDQ (Oracle Enterprise Data Quality) development and Data Quality analysis
Experience on other DQ tools like IDQ, Talend, Quality Stage, MDS, SAS
Strong experience on Data Profiling and Data Analysis using OEDQ
Good expertise on OEDQ DQ Dashboard and automating the schedule for report generation
Experience in Data Standardisation, Data Cleansing and matching using OEDQ
Business stakeholders management while gathering requirements and presenting DQ assessment results
Have exposure on Data Warehouse and BI Frameworks
Strong experience on SQL
Good communication skills

 
How to apply
Interested?  We invite you to join us to discover a career that will challenge, support and inspire you. Working at Capgemini you'll find the rewards are more than just financial. Not only will you work alongside inspiring colleagues with a world of experience, but you'll also have access to great benefits including, salary continuance insurance, paid parental leave, education assistance, salary packaging, the ability to purchase additional leave, as well as, discounts on entertainment, financial and wellbeing services, travel and shopping.  Ranked among Ethisphere's 2015 Most Ethical Companies in the Word. Our seven values are at the heart of everything we do - Honesty, Boldness, Trust, Team Spirit, Freedom, Fun and Modesty.  If you believe you have ""La Niaque"" to go the extra mile, then apply online today.
Capgemini is a proud to be Equal Opportunity Employer and all applicants must be legally entitled to work in the country the role is based out of, unless otherwise stated within the job advertisement.  Proof of work entitlements and visa status will be required prior to and/or at time of offer. Successful applicants will be required to complete a security and reference checks prior to commencement of employment.
Please note unsolicited resumes from employment agencies or other third parties will not be considered.
 
About Capgemini
A global leader in consulting, technology services and digital transformation, Capgemini is at the forefront of innovation to address the entire breadth of clients' opportunities in the evolving world of cloud, digital and platforms. Building on its strong 50-year heritage and deep industry-specific expertise, Capgemini enables organizations to realize their business ambitions through an array of services from strategy to operations. Capgemini is driven by the conviction that the business value of technology comes from and through people. It is a multicultural company with 200,000 team members in over 40 countries. In 2017 the Group achieved €12.8 billion in revenue. Learn more about us at www.capgemini.com",data-analyst,https://www.seek.com.au/job/38929211?type=standout&searchrequesttoken=7b525d56-c57f-4e88-a1b0-29f6a23f91ed,Information Technology,data analyst,200000.0,Mid_level
5,Data Analyst,All-Sydney-NSW,PwC,3 May 2019,na,Contract/Temp,Information & Communication Technology,Database Development & Administration,"Line of Service Assurance  Industry/Sector Banking and Capital Markets  Specialism Assurance  Management Level Specialist  Job Description & Summary   As a Contractor with PwC, you’ll find the flexibility you need to make choices that suit your individual needs and unique skill set. You’ll gain experience, marketability and the opportunity to grow your network, which you’ll be able to leverage to progress your career.   Join us on a 3-6 month contract, ideally starting May 20, 2019.  What will you create?   You’ll help Australian businesses, not-for-profits and governments create value and improve the way they work. From digitising healthcare, to creating smarter cities and igniting our start-up industry, together we build trust in society and solve important problems.  Risk Assurance bring this to life by helping clients to protect and strengthen every aspect of their business; from people to performance, systems to strategy and business plans to business resilience.   As a Data Analyst in our Data Assurance team your impact will be seen by:   Delivering crucial business insights to clients through data analytics and data visualisation   Partner with clients to enable them to understand the value in their data   Partnering with teams to overcome client data centric issues   Helping businesses make sense of complex data sets through manipulation and use of  data manipulation and visualisation tools i.e SQL, ACL, Alteryx, Qlik Sense, Power BI   About you  You have a background in data analytics and are skilled in data visualisation, data cleansing and manipulation and hold an understanding of the volume and complexity that exists within the financial services industry. Ideally, you have previous experience working within a Big 4 or mid-tier consulting firm.  Passionate about being at the forefront of change, you’re ready to help our Risk Assurance team transform how risk is perceived and capitalised on.   You’re collaborative and enjoy working in an innovative environment. You’re a problem solver by nature and want to work with a firm that values the kind of people who reimagine the possible for their clients and stakeholders. Most importantly, you act with integrity and show care for the people you work with.  Life at PwC  Whether you’re working as a contractor to gain experience in a new area, as a platform to gain a more permanent role or as a lifestyle choice, it’ll offer you a predictable pattern of work and provide you with endless opportunities to leverage.   You’ll also benefit from our inclusive culture - something we’re proud of, and also the reason we’ve been named LinkedIn’s #1 Australian workplace. Here, differences are both embraced and the underlying driver in everything we create together.  We empower you with the technology, flexibility and trust needed to make a meaningful difference, supporting you in bringing your whole self to work each day. We’re committed to building and maintaining a diverse workforce because we know it’s only by working together that we can realise the potential of our people, clients and society around us.  We’re living this commitment through initiatives including our Reconciliation Action Plan to increase Indigenous employment and employee-led diversity networks promoting cultural, disability, LGBTI and gender equality. At our core we’re a people business, which means you’ll be supported not just in your professional development but your personal growth as well.   Claire Gascoine is the Recruitment Manager for the role. As the team experience high volumes of applications, we appreciate your patience to allow for a timely and fair process for all.    Education (if blank, degree and/or field of study not specified) Degrees/Field of Study required:   Degrees/Field of Study preferred:  Certifications (if blank, certifications not specified)  Desired Languages (If blank, desired languages not specified)  Travel Requirements  Available for Work Visa Sponsorship?  Government Clearance Required?  Job Posting End Date  
",data-analyst,https://www.seek.com.au/job/38938169?type=standout&searchrequesttoken=7b525d56-c57f-4e88-a1b0-29f6a23f91ed,Information Technology,data analyst,41600.0,Mid_level
6,Data Analyst & Technical Business Analyst | Data Modelling ,All-Sydney-NSW,Peoplebank Australia NSW,2 May 2019,$80k - $100k p.a. + Super + Bonus,Full Time,Information & Communication Technology,Business/Systems Analysts,"Data Analyst/Technical Business Analyst Permanent position Sydney CBDNominated as one of Australia's most innovative companies, our client has been developing and delivering cloud software solutions for the Australian wealth accounting market since 2009.Our client is the leading cloud SMSF administration software. Thousands of accountants and financial advisers rely on the award-winning solution to quickly and efficiently administer over 150,000 funds.Due to the company’s rapid growth and business success, they are creating a new data services team. They are looking for a Data Analyst/Technical Business Analyst to join the team.  The Data Analyst will provide expertise in Data Modelling - ‘categorising and cataloguing data elements and helping to build data models for reporting’. This is a technical BA role with specific expertise in Data Modelling.  This role will involve a high volume of work to ‘catalogue out what the current data model looks like, what do our data fields look like and build a data dictionary catalogue, which will be used to help design and build a reporting data model for the data warehouse. The ideal candidate muist have the following skills and experience: 1. high attention to detail, who understands data structures and has good analytical skills. 2. Mid-level, with likely 2-5 years experience.3. Able to speak sensibly about data structures, should have prior experience building data catalogues. should know about the difference between tables and queries, and different type of data structures.If you meet the above criteria then please ‘Apply Now’. This assignment is being managed on a retained basis by Dan Gordon at Peoplebank. For more information, please call Dan on 02 9409 4805 ",data-analyst,https://www.seek.com.au/job/38928684?type=standout&searchrequesttoken=7b525d56-c57f-4e88-a1b0-29f6a23f91ed,Information Technology,data scientist,150000.0,Mid_level
9,Data Analyst,All-Sydney-NSW,IPG Mediabrands,3 May 2019,"$75,000 - $85,000 inclusive of super",Full Time,"Advertising, Arts & Media",Other,"The Data Analyst aims to provide strategic solutions to aggregate, organise and present data for the team and the broader media agency.   Key Responsibilities:  Source, transform and clean data from a variety of structured and unstructured sources, applying data mining techniques Create reporting dashboards to share analysis and ongoing data reports with stakeholders and the wider agency community Develop visualisation methods for reporting and benchmarking projects Manage data projects within the Performance Team (where this role sits)   Experience:  Bachelors Degree in Maths, Economics, Econometrics, Statistics or Computer Science Proven working experience as a data analyst, preferably in a marketing or media environment Experience working across data interrogation, manipulation and extraction, applied to large and disparate databases Experience creating reporting visualisation, presenting data and building dashboards using Tableau or similar   Want to join the fun of the ever-changing and dynamic media environment? Apply today!    ",data-analyst,https://www.seek.com.au/job/38941165?type=standout&searchrequesttoken=7b525d56-c57f-4e88-a1b0-29f6a23f91ed,Sales & Marketing,data analyst,85000.0,Mid_level
14,Junior Data Business Analyst ,All-Sydney-NSW,Precision Sourcing,7 May 2019,$300 - $350.0 p.d. + inclusive of super,Contract/Temp,Information & Communication Technology,Business/Systems Analysts,"Your responsibilities will include:•Build and maintain relationships with internal stakeholders to achieve improvements in the use of the current reporting and dashboard applications•Delivering high quality analysis reporting and presentations by using and applying a thorough knowledge of Groupwide data sources, analytical technique and tools•Deciphering report requirements ensuring appropriate data sourcing to accurately achieve desired outcomes•Assisting with the delivery of simple to complex reporting requests from multiple sources to meet business and compliance requirements•Understanding and reconciling the gaps, overlaps and inconsistencies among varied data sets, systems and reporting tools•Producing clear, considered and insightful reports with polished and professional style to meet the customers’ needs  You’ll have -• Demonstrated analytical and reporting experience in a similar role using systems within a large corporate environment• Advanced analytical skills with the ability to present group information from multiple sources and draw conclusions - familiarity with Excel• Highly collaborative and a strong team player within a customer service driven environment.  Essential Criteria• Advanced numeracy and analytical ability• Ability to work strategically as well as analytically• Strong technical expertise including complex modelling and analysis• Ability to work in a pressured environment with tight deadlines• Strong communication and project management skills• Continuous improvement and innovation focus• Proven ability to develop and maintain effective business relationships at all levels",data-analyst,https://www.seek.com.au/job/38962561?type=standout&searchrequesttoken=7b525d56-c57f-4e88-a1b0-29f6a23f91ed,Information Technology,data analyst,78000.0,Junior_level
19,Data Analyst      ($40 phr inc sa),All-Sydney-NSW,Genesis IT&T P/L,1 May 2019,na,Full Time,Information & Communication Technology,Database Development & Administration,"Currently working on a large asset management project, they are seeking someone who has worked with large datasets and has strong excel skills. Engaging with end clients, strong interpersonal skills are essential.Primary responsibilities include:  Consult with multiple resources to support the data collection and validation process. Ensuring conformance of all data through auditing processes Implementation of the highest level of safety into all business practices/processes.  Essential requirements include:  3+ years excel data management and manipulation experience. Understanding of asset management systems and methodologies. Attention to detail, high level of accuracy with all data management. Ability to self-manage and work within a team environment.  An immediate start is available although we can accommodate for a notice period. We are actively interviewing for this role so APPLY today. Got questions? Contact Joel on 02 9236 4500",data-analyst,https://www.seek.com.au/job/38918460?type=standard&searchrequesttoken=7b525d56-c57f-4e88-a1b0-29f6a23f91ed,Information Technology,data analyst,83200.0,Mid_level
23,"Data Analyst, Reporting and Insights",All-Sydney-NSW,Mine Super,30 Apr 2019,na,Full Time,Banking & Financial Services,Analysis & Reporting,"Why work for us?
At Mine Super (Mine) we believe the work we deliver is just as important as the way we deliver it. Mine has been delivering retirement outcomes for Australians for the past 77 years. Be part of our ongoing success and growth to deliver exceptional retirement outcomes for our members which achieve peace of mind along the way. At Mine, we promote a positive workplace culture through a genuine commitment to our members and alignment with our values of trust, service, integrity, excellence and collaboration. This is an exciting opportunity to work with a friendly and engaged team in an environment geared to bring out your best by leveraging the passion and knowledge of our people and deploying resources in the best interests of our members.

What you will be doing 
The Analyst, Reporting and Insights role represents an exciting opportunity to join an award-winning industry superannuation fund at a time of positive change. The Analyst, Reporting and Insights is responsible for the preparation of regular Board and Executive reporting, analysis of Group performance, and for providing analytics support as required.

In this role you will be required to perform the following functions:

Prepare papers for Executive Committee and Board meetings, including portfolio and Board level analytics, reports and other documents as required
Providing portfolio insights to assist informing decision making
Establish and maintain operational processes to improve the production efficiency and quality of reporting and analysis and ensure ongoing maintenance of data management and reporting solutions
Provision of quality assurance for the purpose of ensuring high levels of accuracy in the delivery of data and reporting

Who we’re looking for
An exciting opportunity exists for the right candidate to showcase their talents in tackling the competitive and regulatory challenges of the superannuation industry.

Qualification profile

Bachelor’s degree in business, commerce, law, finance or another relevant field (preferred) 

Essential Experience Profile 

Outstanding numerical skills and attention to detail
Advanced Microsoft SQL, Word, PowerPoint and Excel skills (essential)
Tableau and Microsoft Power BI skills (preferred)
Proven track record of delivering high quality executive level reporting
Experience in dealing with stakeholders at all levels
Superannuation industry experience (preferable)

What’s in it for you?
At Mine Super, we’re committed to investing in our people and creating a great place to work. We offer diverse career opportunities with a focus on development and growth. Our people enjoy excellent employee benefits, workplace flexibility and a great working environment. 


If you are interested in this exciting opportunity 
please submit your covering letter and resume by using the Apply Now button.

Please be aware that it is a requirement of this position that background checks are completed. 
The background checking process includes reference checking and validation of employment; proof of qualifications; proof of rights to work within Australia; and a police check. 

Mine is seeking applications from internal and external applicants. Agency submissions will not be accepted.",data-analyst,https://www.seek.com.au/job/38902720?type=standout&searchrequesttoken=8630de4f-6f58-4772-b36e-4f1bc4b91675,Financial Services,data analyst,160160.0,Mid_level
24,Data Analyst,All-Sydney-NSW,Peoplebank Australia NSW,2 May 2019,na,Contract/Temp,Information & Communication Technology,Database Development & Administration,"NSW Government DepartmentInitial 3 months contract with possible extensions $560+super - Sydney locationAbout the roleImplementation Analysts contribute high quality advice and data analysis to support others in delivering the Premier’s Priorities. Key Activities:Working across multidisciplinary teams.Sourcing, managing and presenting data.Providing advice to the team on performance measurement, analysis and reporting.Key requirements:Sound knowledge and experience of data and statistics in a variety of contexts.Flexibility and adaptability to organise different sources of data and statistics in an evolving technical environment.Collaboration, flexibility and listening skills. This role is all about providing quality advice and support to a very diverse team.Capable of telling clear data stories with compelling visualisations which inspire actionSkills: R, Tableau, Excel, Powerpoint (and sometimes Domo, Python, Qualtrics, QGIS etc).For more information, please contact Pooja Gupta on 02 9409 4837, quoting ref: 194478",data-analyst,https://www.seek.com.au/job/38925368?type=standout&searchrequesttoken=8630de4f-6f58-4772-b36e-4f1bc4b91675,Information Technology,data analyst,194478.0,Mid_level
